id,name,Total XP
7052,PRINCE OF DARKNESS,15
8404,BZH,15
8746,LE PETIT MARX,15
1483,Eternity,15
3867,Amy Winehouse,15
7084,5 low stats,15
8694,Timeless,15
2269,UNI-MARVEL,15
2503,Bally,15
2840,Daniel Craig,15
2845,Kirsten Dunst,15
3012,DeFi Degen 532,15
3170,Grace Loc,15
3171,Freebird,15
3201,Justin Sun's Shitcoin,15
5017,Hyperinflation,15
6454,Spock,15
8562,Jude Law,15
9215,SAANTA,15
9936,Baby Elephant,15
2655,0xBao,15
4678,AANCIENT,15
2839,Phil Galfond,15
2841,Alec Baldwin,15
2847,Zac Efron,15
3173,Cutey Honey,15
3407,Vega,15
4117,Nerd,15
4637,Boo Beach,15
6132,FIRSTBORN,15
6451,The World,15
8960,Microsoft,15
9162,Cutie,15
5328,Mike Tyson,15
6277,Dany,15
1377,EXP BOOST 24,15
2794,RAPH,15
2796,PERE LABAT,15
2844,Ryan Gosling,15
364,EXP BOOST 15,15
5992,Facundo Paraiso,15
5994,Santiago De Cuba,15
1975,The Cat,15
48,Omakase,15
5011,Rune,15
1866,Sup,15
1974,Rust,15
2333,VIET NAM KINSHIP 01,15
5010,Santiago,15
5316,Investment,15
4006,Haunter,15
1395,Jesus Christ Superstar,15
3275,Joseph,15
5034,Don Radoni,15
5161,Wethard,15
7356,EXP BOOST 19,15
8836,Aave Maria!,15
151,Wiston Churchill,15
1235,Magic Mike,15
3741,Rodney Mullen,15
3742,lilSatoshi,15
3744,Columbo,15
9393,Obi - Wan Kenobi,15
1708,COSMOS,15
6829,Switzerland,15
1282,BOBBY MCFERRIN,15
4240,WANDERER,15
6209,Gingers have fun too,15
9857,Got-chi-gu,15
3880,Vegeta,15
6152,PRANKSY,15
6156,MANDO,15
7200,MC HAMMER,15
7202,@ELON MUSK,15
7482,EXP BOOST 18,15
3764,Poop,15
6264,Stacks,15
9475,Spicy,15
1279,Bing,15
6089,Henry V,15
6122,BOO!,15
6931,Spooky O'Neil,15
9156,Lady,15
2716,Coyote,15
5603,Moon Man,15
6475,Drop Bot,15
3647,MYTHICAL EYE GOTCHI,15
4215,KING USDT,15
4263,Genesis Khan,15
6592,SAMSUNG,15
110,LINK GOTCHI,15
1218,AAVE GOTCHI,15
2368,USDT GOTCHI,15
2683,DOLLAR GOTCHI,15
3711,ETH GOTCHI,15
7264,Frenny,15
7394,Kevino,15
5419,GOLD GOTCHI,15
4765,Guccio Gucci,15
1980,GHOUL GOTCHI,15
6786,TRUE GOTCHI,15
1570,Marc Jacobs,15
647,STORROR,15
648,AGLAIA B,15
1433,Smokey,15
4044,Uni,15
5110,AAVEG0TCHI VIETNAM MIOTA,15
7389,Tiny Dancer,15
8501,EXP BOOST 32,15
8860,Delysid,15
8861,OMEGA,15
8862,Pi,15
8863,True Degen,15
2775,BLANK,15
1978,Marty,15
9018,Nelfi,15
8060,SAMURAI,15
1589,Allan Kardec,15
1590,Chico Xavier,15
1123,MaLink,15
1126,Oeil de Licorne,15
6851,MA DALTON,15
5109,DADDY,15
5112,MARC Z,15
5119,BERLIN,15
6932,Grimes,15
9769,Hyperloop,15
1155,David Booie,15
1173,CO.CA.I.NE BEAR,15
5626,Old Dirty Bastard,15
8440,ENVY,15
8864,MELVIN CAPITAL,15
1177,965XP,15
4298,985XP + 4MYTH STATS,15
1197,SHIBA,15
7066,BUY ETH,15
1188,Yung Money,15
1485,MALAKA,15
3501,KOVID KILLA,15
2528,King Boo,15
4109,Danny Phantom,15
5573,Saylor Moon,15
6130,Jonesy,15
1388,3 MYTHIC Traits,15
1759,Oribe,15
3784,AAve1,15
1568,TRIPLE POINT ASSET,15
3015,SUPER KITO,15
5108,UNI CORN,15
2145,Mythic Jiro,10
3749,Trunggate,10
5120,Waifu,10
8439,SatoshiStreetBets,10
8442,Parasite,10
8443,TEDDY,10
3783,Dai 1,10
5067,EXP BOOST 16,10
5975,EXP BOOST 14,10
7424,LINK LINK,10
9443,yfi 1,10
2755,Alex,10
979,Billy,10
9872,Yamcha,10
9873,Son Goku,10
2553,Password,10
2749,Partner,10
4621,EXP BOOST 10,10
5069,EXP BOOST 13,10
5221,Spook,10
7943,Skittles,10
650,KRYPTOCACTUS,10
1883,Pizza,10
3064,Cool,10
3347,Weed,10
7517,Keith Flint,10
7918,Username,10
8693,Adolf Hitler,10
6792,Raffaello Santi,10
8229,Wilhelm Conrad Roentgen,10
3928,Ludwig van Beethoven,10
9747,MID TRAITS + EYES + KINSH,10
5123,XP SOURCE,10
3848,Danny McBride,10
6022,Cronos,10
6023,Klaus Schwab,10
6026,Adams Hayden,10
9456,The Devil,10
2578,I NEED MONEY,10
6406,VIRTUAL PIG CASH,10
6685,SNAPSHOT EYES,10
8159,RARE HIGH RARE LOW,10
2259,Lucky,10
6293,omg,10
6801,Yes,10
9285,No,10
2842,Garfield,10
2843,Emma Stone,10
2849,Hilary Duff,10
2552,Jasmine,10
4595,Aladdin,10
5433,Rajah,10
1050,Arwen - Evenstar,10
6222,Sitting Bull,10
9997,BOOhemian RAapsody,10
9139,DINDON,5
1202,Mythic Green Eyed Queen,10
6369,SAFU,10
672,Orochimaru,10
6876,Mary Jane,10
6877,KingCreator,10
6878,United States of America,10
1209,Low Pocket,10
3831,..,10
408,...,10
5949,iFY,10
4365,Eth2.0,10
4369,Facebook,10
4370,Ledger,10
4371,SushiSwap,10
4372,Amazon,10
5143,SUPER-USD,10
5147,K,10
9086,SUN RA,10
4837,JACK DORSEY,10
5441,MICHAEL PHELPS,10
5934,TAYLOR SWIFT,10
7068,ROGER VER,10
8641,MILEY CYRUS,10
5495,GHSTBUSTER,10
5496,ULTIMATE WARRIOR,10
2512,ACE,10
2515,SONY,10
4845,KUSH,10
9690,HAZE,10
5012,Goodnight,10
9060,LIL YACHTY,10
4367,huawei,10
4368,Twitter,10
4374,WhatsApp,10
4375,Instagram,10
7907,SHEEEESH,5
3341,Luffy,10
3342,Nico Robin,10
9337,HIGHEST ARS,10
1199,BUY DEUT,10
2242,BLINDER,10
1459,FIGHTING SPIRIT,10
2603,Cuddle Bear,10
1196,Aavegotchi Vietnam (pVq),10
1837,Gotchi.VN,10
1839,VNZz Yummy,10
3264,Aavegotchi Vietnam buVud,10
2182,Mythical Wizard,10
4616,DAI Am Legend,10
4820,No Raagrets,10
9996,Gotchi Gov'Nuh,10
1779,XP Baadges,10
7324,Casper Oreo,10
821,Houseman,10
9378,LegendBug,10
2999,Cristiano Ronaldo,10
2202,Yo,10
3348,Maybe,10
7069,Psycho,10
1135,AaveCandy,5
2243,CRAZY EYES,5
3051,CPT. AAVESOME,10
6631,THAAVOR,10
8328,DUSTY,10
9700,POLYFI,10
4366,TikTok,10
4373,Alicegotchi,10
4376,Jules,10
4379,Dogecoin,10
4377,Apple,10
4378,Atari,10
7311,SPYCEBRINGER,10
806,SuperAave,10
5912,Pounchingolf,10
5977,Tender Love,10
4115,MetaMask,10
4199,hex.com,10
1460,Snuggly Giddy,10
6566,Caasper,10
1240,ADAM.UNI,10
5320,send.eth,10
7969,STINKYLINKY,10
3596,Aavenger 537 BRS - 755 XP,10
8821,Aaverage Extremist,10
5156,Mama,10
6489,Bankless,10
7615,L2,10
9059,Aavicii,10
2148,Cheapest 534,10
3332,JFK,10
8094,911,10
2162,Rhemul,10
6682,Lani,10
8473,Vio,10
9837,Laure,10
9852,Violet,10
3053,Lonzo Ball,10
731,ATH,10
1475,Excalibur,10
3411,Tyche,10
308,Goerli,10
4885,pikachi,10
523,Rinkeby,10
5263,MARTIN,10
5730,Gotcha,10
9655,trump,10
9656,chamath,10
9658,FAUCI,10
9674,SCHIFF,10
9677,GAMESTOP,10
3997,ALBERTEINSTEIN,10
3998,LEE,10
3999,BEAUTY,10
9652,Mr GoGo,10
2648,ATO,10
8104,Cagy Jan,10
750,Futures Comfy,10
8253,Esprit de Corps,10
9120,Aaavzibubz,10
646,AC/DC,10
5743,AAV3GOTCHI,10
8096,Donald Cum Dump Trump,10
390,Bloob,10
391,John,10
392,USDT,10
787,Aavegotchi Vietnam (oVo),10
3062,Fuckface,10
5722,Capitalism,10
6490,Elite,10
9299,Stonk,10
4065,Traainer,10
4066,Raijin,10
2855,HarryPotter,10
5807,Gorgoleus,10
6268,eSveeBaave,10
5720,Sasuke,10
8591,<3,10
9115,I,10
1321,,10
3853,Kahlil,10
5247,,10
529,Axel,10
6438,BUTCH 9,10
9133,Egon,10
262,Naruto,10
2123,SN,10
7359,Cybertruck,10
9017,Insert name,10
3689,Lord Vader,10
7390,Summit1g,10
7391,Dakotaz,10
7393,Selena Gomez,10
8287,Nicolas Sarkozy,10
9083,Captain Out Da Mud,10
9286,Aagre Aassive,10
5679,Get rekt,10
7893,Andre  Cronje,10
6695,Louis,10
7534,Hiroko,10
3269,Poltergeist,10
3271,Betelgeuse,10
8600,Alexis Texas,10
5537,Gollum,10
5538,Spookey,10
5539,Marshmallow,10
7247,Sir Percival,10
9146,CRYPTYPE.com,10
2581,2581st Born,10
2610,swiper,10
4694,Sock,10
4859,,10
9611,Layaway,10
1426,Gaalaaxy,10
1557,,10
1874,Eclipse,10
6052,BUTCH 4,10
1400,YAM,10
1401,Invader,10
1403,High,10
1404,Teemo,10
1405,Doughnut,10
8892,BeeBop,10
7544,PLAYSTATION,5
8071,SATOSH1 NAKAMOTO,5
9490,Frodo Baggins,5
8050,Blondinet,10
9173,Elon The Musk,10
9826,Andrew,10
1083,Scamming a scammer,10
4756,Crypto,10
7480,John Barron,10
8082,GOTCHI ADDICTION,10
9137,,10
7474,AAVE CAESAR,10
7475,GATORADE,10
7478,LINKOLN,10
9496,DANK SINATRA,10
3436,Pretty Eye,10
7484,Gengar @ Aavegotchi,10
8845,Winklevoss,10
9546,,10
1581,5/6 Low stats,10
2165,Egill Skallagrimsson,10
544,Ghostbusterbuster,10
5444,220+ Kinship // Xp Boost,10
6413,Oracle of DePhi,10
6422,Mr. Boo-urns,10
6431,GHSTy McGHSTFace,10
7933,5-Star Gotchi,10
825,Slim Shady,10
8424,Sonic The Hedgehog,10
4615,Carl Cox,10
5191,PEEPO,10
5192,WICKED,10
8432,RISITAS,10
8433,PRESCINDIBLE,10
9031,EYS 96 EYC 97,10
1336,Lesbian,10
3752,Baba,10
3753,Sleepy,10
7586,Lemon,10
6693,Leo Ishii,10
7533,Hugo,10
5667,EthGhost,10
6793,506BRS.MythEye.OldBorn,10
7868,Ba-Roi-Beo,10
183,Destroyer of Worlds,10
1911,Hard Fork,10
2624,Charlie the Unicorn,10
8281,Dr.Jekyll,10
9342,Spyro,10
3004,Anorak,10
9767,Miku Nakano,10
3376,Uncle Sam,5
3378,$Whale,5
6735,1337,5
2251,Osiris,10
3862,Estee,5
7144,Flocon,10
4068,Baanana in Pajama,10
4238,Mr. Uniswap,10
7863,Your XP are SAFU,10
4464,Noot,10
5336,Squirtle,10
2391,Kaze,10
8583,Abbott,10
8276,Dai-No-Mite,10
8895,PollyAnna,10
5431,Toxin,10
7083,Riot,10
8226,Mayhem,10
3316,PapaBear,10
8465,So Bad,10
5401,Baaron Maasta of Paasta,10
9614,Something Need Doing?,10
6614,AAVEGOTCHUU,10
9654,AcaalA,10
7896,Nyzo,10
1207,BUTCH 5,10
1398,Chainlinkgod.eth,10
2962,BUTCH 6,10
4481,BUTCH 8,10
6881,USDCgotchi,10
8647,Runt,10
2663,Aavethereum,10
5321,blu,10
9849,Bullseye,10
2931,Celebi,10
2950,Steve Irwin,10
574,Polly,10
5938,Vendetta,10
649,FLATHEAD,10
3326,CHARLIE LEE,10
4931,MIKE NOVOGRATZ,10
6105,JUSTIN TIMBERLAKE,10
8516,ROBIN WILLIAMS,10
8811,SAM BANKMAN-FRIED,10
8934,Trader,10
1743,Pinkeye,10
1954,Nephew,10
2393,Mighty,10
4906,1,10
6274,None,10
7422,Blind,10
7848,BB,10
9125,Miami,10
2099,Fat Freddy's Drop,10
233,I'm Blue Dabadee Dabadai,10
6007,aTokens,10
6009,Lisa,10
1171,Captain,10
2120,Winklevi,10
4221,I'm Rekt,10
572,Sheet,10
6439,Goon,10
7931,Bruce Willis,10
8121,Illusion,10
7895,Freestylo,10
9464,Home,10
4689,lord gotchi,10
5935,Voland,10
1178,Aanger Management,10
6189,Keoni,10
7656,Loulette,10
9045,DeN,10
7921,BIG CHUNGUS,10
8765,Bloody Baron,10
9945,Zensation,10
6065,julius randle,10
1662,Venkman,10
3126,Poni,10
4392,Galaxy,10
317,USDTgotchi,5
4856,Nyan Cat,10
4857,Bored Elon Musk,10
1432,+XP +Kinship,10
3938,Lev,10
1147,Frogface,5
9455,jefe,5
8745,Cpt. America,10
9330,GRIM REAPER,10
9507,Thor Odinson,10
4628,@AaveAave,5
8518,Undefined,5
4763,BITCOIN KILLER,10
7607,Based Creeper,10
987,Bedtime,10
4882,Inter Milan,5
7476,Liverpool,5
9433,Tiger,10
4032,Swappy,10
4764,General,10
689,Bae,10
9692,Miss,10
9824,Capt. Aave,10
6169,Aussie Gotchi Gang,10
820,Nicolas Cage,10
8256,Audit The Fed,10
5308,REX,10
8956,Fury,10
2032,Goat,10
5388,"cheap 514, 0 eye shape",10
5646,AaveAave,10
6668,Zashu,10
1771,GUCCI GANG,10
1774,basedkarbon,10
1782,3ARROWSCAPITAL,10
5639,Gin n Juice,10
6861,POPPOTCHI,10
4981,Martyr1,10
5210,Martyr2,10
8280,Cancer,10
4505,Mo Money Mo Problem,10
2753,BearWhale,10
4294,Karpeles,10
5052,McAfee,10
3331,AaZEN,10
808,KARMA,10
8515,GODgotchi,10
8964,69 ON MY MIND,10
8965,GOT MY EYES ON YOU,10
1110,BANKERS KILLED JFK,10
1904,HARDKOR SATS,10
4216,Grodd Aavegotchi Guerilla,10
8233,Optimistic UNIcorn,10
9119,Dylan,10
3592,ZennyGhastlyVB,10
7965,AhhYouGuiAhh,10
1880,SEEN,5
377,Average Jane,10
5694,Viking,10
5698,Fluffy,10
7582,Confused,10
6080,BOBA FETT,10
2761,Ashtoshii,10
6230,aLINK,10
6231,alenaxbt,10
3295,Satoshi N.,5
3298,Mr. Sergey Nazarov,5
4323,Mr. Vitalik Buterin,5
2364,Ponzi,10
9686,Wen,10
1977,McLovin,10
6943,Pretty Stylish Unicorn,10
6944,Hoooooudini,10
9165,Happigotchi,10
1417,Elon Reeve Musk,10
2659,SNOOP DOGGY DOG,10
6581,Greedy,10
3591,Cheap XP Boost,10
4815,Bobo XP/Kinship/Badge,10
621,Giggles XP/Kinship/Badge,10
3364,POLYDOGE,10
9661,MELVIN,10
7047,Gentleman Uber,10
7050,xDAI STAKE,10
8529,Purple Moon,10
4508,Jinyao,10
4850,Nina,10
6019,<(^-^)>,10
1740,N,10
3267,The Bearded Lady,10
2687,Ermahgerd,10
3154,Aamazing,10
5033,Learn To Code,10
5423,#ERROR!,10
6038,Monke,10
6257,Gweibo,10
6342,Big Brain Andre,10
6506,uwu,10
6511,DJ,10
6513,Chris,10
6515,Space,10
6912,Flash Loan Freddy,10
9685,Haunter S Thompson,10
1364,Drago,10
2214,Happy,10
5197,Super Happy,10
9293,War Hammer,10
6395,Need to pay rent,10
1984,George Orwell,10
264,Snake,10
9395,Proof of Face,10
9174,Top Kin & XP - Unicly BG,10
7653,Posvist Suslika,10
4454,Vishnu,10
8559,Gaandhi,10
4452,Martyr3,10
5136,DEGENZ,10
6692,Aquarius,10
6694,Taurus,10
7537,Virgo,10
5518,Steven,10
5520,Halloween,10
5521,Portal,10
6107,Hero,10
2745,Min,10
6064,MIN MIN,10
7063,Mila Kunis,10
4237,Mr Buterin,10
6659,Gilgamesh,10
2125,Kimagure,10
2126,Moaning Myrtle,10
2129,Machibuse,10
4021,GH$T MALONE,10
8174,#NeverForgetJune4,10
9730,#May35Memorial,10
5604,On,10
7897,XP/Kinship/1 of 635 Badge,10
3974,Ubuntu,10
4524,Fundamentalist,10
4710,PUMPER,10
4714,Zidane,10
4715,Enjin,10
6145,EGOD,10
6731,Soy Boy,10
6734,Extremist,10
699,Donald Trump,10
5703,Saatoshi,10
1009,Ropsten,10
3556,Kawaii,10
4321,Light,10
3094,Hi,10
3108,420 blaze it,10
6993,Song,5
7214,MCuban,10
7215,Pokimane,10
7217,Hentai,10
7218,MichaelJordan,10
7909,Karen,10
2132,Pink Eye,10
2422,Josh Richards,10
502,Lady Gaga,10
766,NARNIEC,10
769,CYCLOP,10
2446,Curve,10
2453,Vladimir,10
2462,Pedro,10
3255,Player 1,10
3962,Anna,10
6505,Ozara,10
6509,frog,10
6517,2 Chainz,10
9624,Printer Go Brrrrrr,10
1663,Spengler,10
2449,Kobe,10
2450,Ares,10
2454,Mars,10
2457,Sam,10
2461,Charles,10
2530,Mr Musk,10
261,Mr Beeple,10
2696,Mr Nakamoto,10
1285,Pepega,10
1853,Rothschild,10
2443,Richard,10
2448,Alice,10
2451,Eve,10
4291,NomiChef,10
4504,Ethereum Maxi,10
5878,FutureOfFrance,10
5733,LaMelo,10
5792,Perceval,10
3895,Aavegotchi Vietnam (0v0),10
3898,Alpha 2021,10
3899,SuperGotchi,10
3900,Love Green,10
1136,The Lion King,10
1233,George Soros,10
2056,Aramis LOW Rarity Xp/Kin,10
2272,Darknode,10
2441,Fire,10
2445,Peter,10
2447,Charles de Gaulle,10
2455,Cesar,10
2460,Thomas,10
4743,Bitcorn,10
4744,Bitch,10
4745,Shitcoin,10
4716,Jean Reno,10
4718,Computer,10
4720,Godzilla,10
4723,Queen Elizabeth,10
481,The Joker,10
4721,xQc,10
4724,I am your daddy,10
5602,aAave,10
5818,Luke,10
5926,Omar,10
7872,Mr Hyde,5
9494,Bruce Banner,5
4231,Money Incinerator,5
9560,Cuca,5
2642,Stake,10
2643,Soul,10
2644,Pony,10
4092,Blue Kirby,10
2431,100X Leverage,10
5442,Mr Andre Cronje,10
8572,Decentralize,10
6034,ROFL,10
6519,pepes,10
9381,@Ghostbuster,10
1241,GOTCHISAN,10
2837,Brrrr,10
3330,I LOVE MONEY,10
3975,100k,10
3982,Steve-O,10
3983,Mickey Mouse,10
3984,Paris,10
5471,Kraken,10
1193,Mishu,10
7708,DONT WIN FRENS WITH SALAD,10
9143,hehe,10
9289,Frens With Benefits,10
8880,Whale Shark,10
4309,Danielle,5
555,Purikura,10
3167,Biba,10
5980,LIL MOON,10
6068,Eighty-Three x3 McGee,10
2666,Daiddy,10
3273,Pirate,10
3382,BAT,10
3967,Robert,10
3971,Snoop Dogg,10
3972,Vito Corleone,10
3976,Jack O'Neill,10
3985,Player,10
3499,level 2,10
8049,SIRI,10
9753,CAPTAIN AAVEGOTCHI,10
6729,Kappa,10
697,Chad,10
9382,Ethema,10
3162,Goji,10
4419,Ice,10
6627,OJ,10
2957,Flavius Belisarius,10
3322,Boo Berry,10
458,Mr Boogedy,10
5886,Gozer the Gozerian,10
7530,Horatio Nelson,10
4722,Jupiter,10
695,Degen,10
4927,ERIK VOORHEES,10
5309,DAN HELD,10
6764,LAYAH HEILPERN,10
7147,JAMESON LOPP,10
6839,Claude Shannon,10
3512,Mooncake,10
7266,Papoy,10
1138,Jackass,10
1473,Yeti,10
241,Master Chief,10
2440,Georges Washinton,10
2442,Peace,10
